epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,403.325,0.97317,0.89515,1.31476,0.90226,0.84626,0.85596,0.62237,1.10614,0.79118,1.53639,0.000945641,0.000945641,0.000945641
43,410.992,0.90876,0.8256,1.25461,0.85084,0.88242,0.87197,0.64412,1.09274,0.80893,1.54066,0.000933851,0.000933851,0.000933851
44,421.196,0.85286,0.80376,1.2292,0.80676,0.86143,0.87334,0.65681,1.05469,0.78184,1.48102,0.000922062,0.000922062,0.000922062
45,429.602,0.88664,0.80848,1.26889,0.85608,0.82912,0.88286,0.67423,0.98753,0.76759,1.46247,0.000910273,0.000910273,0.000910273
46,439.176,0.86211,0.78893,1.23559,0.81474,0.88735,0.8809,0.66207,0.96156,0.84116,1.43777,0.000898484,0.000898484,0.000898484
47,447.792,0.90647,0.8353,1.28454,0.88223,0.90665,0.88216,0.66154,0.97207,0.68996,1.40072,0.000886694,0.000886694,0.000886694
48,458.092,0.83427,0.75304,1.24884,0.86297,0.80082,0.87995,0.6808,0.97341,0.79767,1.40098,0.000874905,0.000874905,0.000874905
49,466.199,0.8829,0.80812,1.30496,0.90909,0.82799,0.91194,0.67951,0.99372,0.70159,1.44025,0.000863116,0.000863116,0.000863116
50,475.018,0.82782,0.74484,1.21944,0.76512,0.77162,0.85844,0.63783,0.99465,0.89581,1.41402,0.000851327,0.000851327,0.000851327
51,485.831,0.88779,0.79341,1.27377,0.89343,0.89133,0.87808,0.69601,0.92733,0.65765,1.34155,0.000839537,0.000839537,0.000839537
52,495.794,0.87241,0.78606,1.26663,0.86786,0.88441,0.92232,0.72308,0.9331,0.69088,1.37847,0.000827748,0.000827748,0.000827748
53,504.308,0.77318,0.69654,1.2155,0.84,0.8899,0.90531,0.71376,0.86895,0.65255,1.32382,0.000815959,0.000815959,0.000815959
54,513.063,0.86109,0.76908,1.28741,0.89138,0.8873,0.88985,0.67681,0.93212,0.63951,1.40123,0.00080417,0.00080417,0.00080417
55,521.978,0.97256,0.83689,1.2954,0.87818,0.90733,0.8937,0.67506,0.99432,0.66489,1.4415,0.00079238,0.00079238,0.00079238
56,531.459,0.8095,0.70563,1.21551,0.89632,0.85951,0.90822,0.72346,0.90157,0.66777,1.40835,0.000780591,0.000780591,0.000780591
57,540.404,0.82112,0.7229,1.25308,0.86117,0.91872,0.89357,0.71704,0.86407,0.60805,1.31364,0.000768802,0.000768802,0.000768802
58,549.781,0.86832,0.77238,1.27165,0.91168,0.89329,0.89812,0.71431,0.8634,0.58835,1.30947,0.000757013,0.000757013,0.000757013
59,559.025,0.81148,0.70224,1.24729,0.89491,0.90104,0.90244,0.72069,0.86724,0.6211,1.33876,0.000745223,0.000745223,0.000745223
60,566.997,0.79984,0.70132,1.21409,0.79516,0.88692,0.89618,0.70986,0.93576,0.67118,1.41596,0.000733434,0.000733434,0.000733434
61,576.559,0.86921,0.74858,1.25165,0.88088,0.82954,0.89845,0.68936,0.95166,0.7126,1.41381,0.000721645,0.000721645,0.000721645
62,585.667,0.79427,0.67241,1.17091,0.85534,0.87453,0.90184,0.71708,0.87288,0.69029,1.32172,0.000709856,0.000709856,0.000709856
63,594.37,0.79195,0.71256,1.19245,0.90849,0.8441,0.91469,0.70612,0.91801,0.64196,1.34768,0.000698066,0.000698066,0.000698066
64,604.025,0.88004,0.77659,1.26343,0.87001,0.91386,0.913,0.68302,0.94646,0.66669,1.4103,0.000686277,0.000686277,0.000686277
65,613.202,0.7875,0.66656,1.20218,0.85112,0.94115,0.9135,0.71654,0.85114,0.60548,1.30896,0.000674488,0.000674488,0.000674488
66,622.915,0.7873,0.6421,1.19931,0.89638,0.92566,0.91453,0.72127,0.85437,0.57707,1.30461,0.000662699,0.000662699,0.000662699
67,631.119,0.80495,0.69792,1.20104,0.88162,0.92039,0.90211,0.72567,0.79968,0.55197,1.27521,0.000650909,0.000650909,0.000650909
68,640.442,0.75402,0.65747,1.2097,0.89894,0.91264,0.90187,0.73332,0.80088,0.58349,1.27945,0.00063912,0.00063912,0.00063912
69,650.067,0.75107,0.61758,1.1406,0.85275,0.9159,0.91267,0.72254,0.85999,0.59161,1.3438,0.000627331,0.000627331,0.000627331
70,660.124,0.75392,0.64779,1.21311,0.89085,0.91609,0.90484,0.7396,0.86074,0.55974,1.30624,0.000615542,0.000615542,0.000615542
71,668.711,0.75895,0.59717,1.17633,0.90126,0.89277,0.87678,0.70713,0.81123,0.59205,1.26592,0.000603752,0.000603752,0.000603752
72,678.439,0.71382,0.6393,1.20263,0.88636,0.89277,0.8844,0.72228,0.78755,0.61224,1.27634,0.000591963,0.000591963,0.000591963
73,686.242,0.77352,0.63771,1.19235,0.8889,0.90393,0.90954,0.73521,0.79602,0.55297,1.27656,0.000580174,0.000580174,0.000580174
74,695.457,0.76594,0.6574,1.16149,0.8867,0.90517,0.89279,0.71643,0.84272,0.58952,1.32014,0.000568385,0.000568385,0.000568385
75,705.178,0.74541,0.62694,1.19688,0.90202,0.89412,0.89126,0.7313,0.79876,0.54754,1.25369,0.000556595,0.000556595,0.000556595
76,714.435,0.74737,0.61124,1.16956,0.85834,0.87572,0.9066,0.73212,0.85076,0.58935,1.32186,0.000544806,0.000544806,0.000544806
77,724.496,0.73364,0.63957,1.19481,0.88058,0.88973,0.90841,0.74185,0.83573,0.56421,1.28771,0.000533017,0.000533017,0.000533017
78,733.054,0.71198,0.59391,1.19118,0.88044,0.92527,0.89589,0.73039,0.84243,0.5665,1.26099,0.000521228,0.000521228,0.000521228
79,742.864,0.69075,0.56742,1.14751,0.87913,0.90061,0.90488,0.73787,0.88055,0.53914,1.31139,0.000509438,0.000509438,0.000509438
80,752.085,0.71511,0.59391,1.15523,0.87429,0.90212,0.91124,0.72716,0.90661,0.54967,1.37849,0.000497649,0.000497649,0.000497649
81,761.333,0.68215,0.54947,1.15246,0.92865,0.90524,0.92584,0.74809,0.84996,0.52082,1.31847,0.00048586,0.00048586,0.00048586
82,770.575,0.68389,0.56514,1.16921,0.86006,0.8918,0.91595,0.7406,0.83195,0.54804,1.29052,0.000474071,0.000474071,0.000474071
83,779.853,0.70671,0.57185,1.14827,0.87109,0.84426,0.90827,0.74358,0.82144,0.55921,1.26265,0.000462281,0.000462281,0.000462281
84,789.091,0.6862,0.57079,1.14638,0.89145,0.89517,0.91646,0.75545,0.79123,0.51708,1.24005,0.000450492,0.000450492,0.000450492
85,798.547,0.66953,0.55379,1.14252,0.87465,0.92954,0.91945,0.76331,0.78202,0.5267,1.24353,0.000438703,0.000438703,0.000438703
86,807.708,0.68437,0.5584,1.15079,0.8537,0.92063,0.90925,0.75136,0.7974,0.53451,1.2697,0.000426914,0.000426914,0.000426914
87,817.932,0.71378,0.60065,1.20707,0.91302,0.94243,0.91102,0.74476,0.79896,0.48595,1.26052,0.000415124,0.000415124,0.000415124
88,827.692,0.6828,0.58273,1.19892,0.89355,0.92075,0.91464,0.75369,0.79538,0.49377,1.25479,0.000403335,0.000403335,0.000403335
89,837.148,0.68182,0.57409,1.14315,0.90964,0.8895,0.91155,0.74683,0.79012,0.52609,1.26618,0.000391546,0.000391546,0.000391546
90,846.165,0.70067,0.57233,1.14808,0.9022,0.91898,0.92319,0.76431,0.7686,0.4988,1.24045,0.000379757,0.000379757,0.000379757
91,855.552,0.64788,0.54452,1.15811,0.92503,0.89225,0.91154,0.76489,0.76437,0.49676,1.21776,0.000367967,0.000367967,0.000367967
92,864.437,0.65368,0.56,1.08867,0.84446,0.91917,0.91796,0.75994,0.75717,0.5105,1.22392,0.000356178,0.000356178,0.000356178
