epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,145.122,0.88778,1.96529,0.97017,1.17878,0.90736,0.73434,0.90116,0.65104,0.90736,0.73434,0.86958,0.50438,0.9903,2.71392,1.0499,1.42678,0.00116492,0.00116492,0.00116492
30,149.933,0.83718,1.75404,0.8583,1.21779,0.85295,0.73735,0.84001,0.59314,0.83365,0.72619,0.81234,0.47959,1.02176,2.4645,1.31002,1.53188,0.00115549,0.00115549,0.00115549
31,154.745,0.87162,1.91123,0.93189,1.24021,0.81368,0.7789,0.87779,0.6277,0.78175,0.75526,0.8505,0.51316,1.11511,2.47078,1.04138,1.58951,0.00114606,0.00114606,0.00114606
32,159.527,0.89491,1.7232,1.00113,1.21387,0.88772,0.80228,0.91047,0.6792,0.88382,0.79862,0.89216,0.60089,0.92796,2.03278,0.86487,1.38469,0.00113663,0.00113663,0.00113663
33,164.343,0.94366,1.95735,0.93645,1.21257,0.83697,0.74204,0.80755,0.5806,0.82884,0.73196,0.7765,0.49332,0.99353,2.30295,1.06044,1.44858,0.0011272,0.0011272,0.0011272
34,169.134,0.83023,1.95169,0.91466,1.1673,0.94449,0.84845,0.93851,0.67592,0.92914,0.78322,0.8737,0.53069,0.99804,3.03626,0.74106,1.51524,0.00111776,0.00111776,0.00111776
35,174.003,0.7718,1.74034,0.84806,1.16916,0.88507,0.79638,0.89134,0.66446,0.85976,0.78474,0.83609,0.51431,0.93936,2.99834,0.88062,1.43194,0.00110833,0.00110833,0.00110833
36,178.858,0.78344,1.74756,0.82395,1.13551,0.83016,0.68662,0.79135,0.57278,0.81441,0.66474,0.75526,0.46795,0.99131,3.57085,1.48674,1.4739,0.0010989,0.0010989,0.0010989
37,183.676,0.74881,1.66954,0.74531,1.13224,0.74067,0.82382,0.91844,0.68277,0.74067,0.82382,0.894,0.58441,0.9162,2.58652,0.97299,1.44371,0.00108947,0.00108947,0.00108947
38,188.532,0.80894,1.80467,0.82293,1.15899,0.73934,0.70915,0.82424,0.62231,0.73934,0.70915,0.82338,0.52396,0.93456,2.31129,1.22736,1.38263,0.00108004,0.00108004,0.00108004
39,193.393,0.79822,1.91121,0.81226,1.17077,0.80299,0.77768,0.86726,0.66419,0.80299,0.77768,0.85524,0.58825,0.89573,2.04805,1.27847,1.3576,0.00107061,0.00107061,0.00107061
40,198.094,0.78985,1.75433,0.83257,1.12341,0.61245,0.61412,0.60834,0.44205,0.61541,0.62603,0.60723,0.39026,0.94455,2.09954,2.12323,1.38996,0.00106118,0.00106118,0.00106118
41,202.746,0.78757,1.55013,0.80782,1.15128,0.84806,0.73699,0.8539,0.64534,0.84806,0.73699,0.84878,0.5512,0.89186,1.88444,1.02396,1.31699,0.00105174,0.00105174,0.00105174
42,207.505,0.78015,1.5898,0.77946,1.14801,0.82091,0.80905,0.86821,0.64533,0.82091,0.80905,0.85074,0.56373,0.92081,2.05812,0.86105,1.37441,0.00104231,0.00104231,0.00104231
43,212.281,0.76062,1.59993,0.75194,1.0988,0.88685,0.82389,0.8957,0.658,0.88685,0.82389,0.8885,0.58625,0.98931,1.94658,0.8319,1.46218,0.00103288,0.00103288,0.00103288
44,216.925,0.72372,1.57242,0.74152,1.09708,0.93266,0.839,0.93749,0.69605,0.93266,0.839,0.91825,0.59402,0.98735,2.08637,0.64755,1.43372,0.00102345,0.00102345,0.00102345
45,221.846,0.80719,1.65335,0.75508,1.16446,0.84761,0.94048,0.97302,0.76674,0.84761,0.94048,0.96095,0.63827,0.80345,2.23082,0.63519,1.27851,0.00101402,0.00101402,0.00101402
46,226.546,0.82569,1.67317,0.83771,1.16555,0.83598,0.89414,0.91868,0.72505,0.87876,0.84233,0.90433,0.62702,0.81406,1.98053,0.70677,1.28417,0.00100459,0.00100459,0.00100459
47,231.44,0.80464,1.59548,0.77104,1.14057,0.91235,0.89032,0.95721,0.74736,0.91662,0.88861,0.95221,0.62659,0.85039,2.12366,0.61722,1.28931,0.000995156,0.000995156,0.000995156
48,236.487,0.73375,1.50331,0.68118,1.1175,0.85417,0.85714,0.91159,0.68547,0.85417,0.85714,0.90324,0.54793,0.92839,2.66061,0.82987,1.41517,0.000985724,0.000985724,0.000985724
49,241.264,0.73508,1.62637,0.78945,1.11401,0.94629,0.84565,0.94263,0.74264,0.94629,0.84565,0.93896,0.61984,0.82123,2.30205,0.67589,1.32081,0.000976293,0.000976293,0.000976293
50,246.065,0.71012,1.60575,0.66852,1.10819,0.82574,0.64301,0.77348,0.61423,0.8189,0.62832,0.76772,0.52622,0.82619,2.05185,1.52669,1.32699,0.000966861,0.000966861,0.000966861
51,250.934,0.75418,1.78857,0.71674,1.1004,0.89629,0.68085,0.87718,0.66758,0.89629,0.68085,0.87178,0.57728,0.90483,2.04496,1.05522,1.38999,0.00095743,0.00095743,0.00095743
52,255.777,0.76811,1.61694,0.70917,1.12276,0.95432,0.82595,0.91665,0.7042,0.95432,0.82595,0.9032,0.57422,0.89679,2.373,0.69731,1.36327,0.000947999,0.000947999,0.000947999
53,260.58,0.72453,1.47624,0.67882,1.07666,0.86915,0.89286,0.92246,0.70215,0.85655,0.88095,0.8951,0.62327,0.86219,1.95962,0.69174,1.3047,0.000938567,0.000938567,0.000938567
54,265.401,0.7168,1.54559,0.71258,1.08116,0.8914,0.83374,0.926,0.71172,0.88151,0.80979,0.90519,0.61619,0.85745,2.00833,0.70055,1.33996,0.000929136,0.000929136,0.000929136
55,270.004,0.77054,1.61499,0.65996,1.0707,0.8911,0.87891,0.93042,0.72957,0.8911,0.87891,0.90737,0.62989,0.83167,1.99212,0.60705,1.28105,0.000919704,0.000919704,0.000919704
56,274.749,0.78502,1.55713,0.71844,1.12585,0.92019,0.8481,0.9416,0.72979,0.9108,0.83558,0.92601,0.6388,0.81541,1.80611,0.57566,1.27504,0.000910273,0.000910273,0.000910273
57,279.57,0.75471,1.51719,0.63474,1.10456,0.93806,0.84385,0.92806,0.71348,0.92717,0.82983,0.88963,0.59567,0.86981,2.21428,0.64257,1.34527,0.000900842,0.000900842,0.000900842
58,284.223,0.68422,1.48259,0.65213,1.08095,0.89317,0.81414,0.91905,0.70303,0.89317,0.81414,0.88829,0.59175,0.83867,2.17471,0.65298,1.29279,0.00089141,0.00089141,0.00089141
59,288.935,0.6894,1.48586,0.67602,1.0878,0.89138,0.82448,0.91816,0.72689,0.89138,0.82448,0.89129,0.62875,0.78027,2.00498,0.69989,1.27307,0.000881979,0.000881979,0.000881979
60,293.679,0.72268,1.62621,0.67833,1.11085,0.92815,0.88638,0.9429,0.72739,0.92815,0.88638,0.93768,0.60675,0.8411,2.21026,0.58107,1.27194,0.000872547,0.000872547,0.000872547
61,298.328,0.69056,1.48496,0.62859,1.10872,0.94908,0.92868,0.95823,0.75011,0.94908,0.92868,0.94405,0.63847,0.83911,1.91888,0.51403,1.30358,0.000863116,0.000863116,0.000863116
62,303.094,0.70599,1.54638,0.64577,1.0635,0.9686,0.91419,0.95134,0.73982,0.9686,0.91419,0.94146,0.64507,0.86843,1.85502,0.57578,1.3629,0.000853685,0.000853685,0.000853685
63,307.883,0.70669,1.49776,0.67346,1.06068,0.88721,0.92975,0.96505,0.75737,0.96276,0.84178,0.9147,0.66202,0.80177,1.94074,0.59589,1.29329,0.000844253,0.000844253,0.000844253
64,312.759,0.73176,1.65607,0.60259,1.0973,0.86159,0.88394,0.95519,0.74615,0.86159,0.88394,0.92895,0.65771,0.78568,2.10685,0.67459,1.25941,0.000834822,0.000834822,0.000834822
65,317.45,0.71828,1.46389,0.64205,1.09665,0.98286,0.89695,0.95291,0.74068,0.98286,0.89695,0.94614,0.66269,0.78393,1.85802,0.58292,1.30387,0.00082539,0.00082539,0.00082539
66,322.296,0.716,1.56787,0.67104,1.09636,0.95189,0.89959,0.95088,0.72757,0.95189,0.89959,0.94721,0.66873,0.88832,1.94645,0.57714,1.36144,0.000815959,0.000815959,0.000815959
67,326.981,0.7814,1.47845,0.66408,1.1191,0.96543,0.85997,0.959,0.75441,0.96478,0.85755,0.93927,0.68012,0.77689,1.8189,0.54969,1.25302,0.000806528,0.000806528,0.000806528
68,331.741,0.7007,1.43994,0.60204,1.08708,0.94338,0.91334,0.96813,0.76479,0.9279,0.89286,0.94052,0.67616,0.76912,1.84537,0.56815,1.22015,0.000797096,0.000797096,0.000797096
69,336.462,0.70387,1.49126,0.65937,1.09684,0.9015,0.92301,0.97492,0.77749,0.9065,0.90472,0.95804,0.67597,0.7582,2.10327,0.51868,1.2077,0.000787665,0.000787665,0.000787665
70,341.114,0.76241,1.41637,0.70233,1.14128,0.98019,0.87601,0.9672,0.77504,0.98019,0.87601,0.95339,0.6891,0.77108,1.76919,0.51764,1.21685,0.000778233,0.000778233,0.000778233
71,345.849,0.65755,1.44128,0.55472,1.07917,0.93848,0.91708,0.95799,0.77411,0.93848,0.91708,0.95331,0.65101,0.76549,1.93036,0.51796,1.24101,0.000768802,0.000768802,0.000768802
72,350.562,0.6666,1.4117,0.64147,1.08446,0.85592,0.90083,0.93453,0.73982,0.85137,0.86946,0.91332,0.63409,0.81638,1.89288,0.63293,1.27241,0.000759371,0.000759371,0.000759371
73,355.37,0.62464,1.41131,0.55724,1.04236,0.86191,0.81144,0.8768,0.68566,0.85307,0.79963,0.84071,0.58751,0.82841,2.26103,0.84839,1.33626,0.000749939,0.000749939,0.000749939
74,359.992,0.67784,1.48743,0.65617,1.07379,0.94346,0.89286,0.957,0.77597,0.92727,0.88095,0.94229,0.66533,0.77097,1.98385,0.52015,1.24888,0.000740508,0.000740508,0.000740508
75,364.76,0.67363,1.34173,0.57918,1.04257,0.9606,0.91708,0.96086,0.76656,0.94762,0.90517,0.9461,0.65757,0.75737,1.67298,0.50946,1.23704,0.000731076,0.000731076,0.000731076
76,369.557,0.62365,1.46766,0.56149,1.03566,0.93348,0.90066,0.9563,0.78761,0.9084,0.87697,0.92033,0.66789,0.69095,1.8345,0.53898,1.1705,0.000721645,0.000721645,0.000721645
77,374.305,0.6316,1.35704,0.54068,1.04326,0.92338,0.90833,0.95074,0.7681,0.90866,0.89772,0.92963,0.66635,0.77018,1.82239,0.5331,1.23741,0.000712214,0.000712214,0.000712214
78,379.011,0.66307,1.41436,0.5854,1.04483,0.95154,0.87993,0.94905,0.75896,0.95154,0.87993,0.94191,0.65145,0.83099,2.15908,0.52257,1.30899,0.000702782,0.000702782,0.000702782
79,383.675,0.6688,1.53515,0.58589,1.0496,0.94445,0.90864,0.96703,0.77864,0.93724,0.89327,0.93985,0.66956,0.77201,2.05258,0.47759,1.27503,0.000693351,0.000693351,0.000693351
80,388.351,0.63908,1.39696,0.58365,1.04939,0.91077,0.9715,0.97343,0.78835,0.9783,0.86194,0.94782,0.67242,0.72176,1.86469,0.48191,1.21932,0.000683919,0.000683919,0.000683919
81,393.083,0.63848,1.34992,0.52096,1.06554,0.90598,0.93353,0.9541,0.77578,0.91285,0.8838,0.94271,0.66779,0.78085,1.88798,0.51101,1.25438,0.000674488,0.000674488,0.000674488
82,397.773,0.64773,1.3787,0.64397,1.06987,0.90208,0.92269,0.94018,0.74765,0.93461,0.86172,0.93242,0.64718,0.79346,1.94957,0.54575,1.32029,0.000665057,0.000665057,0.000665057
83,402.43,0.6113,1.24321,0.49146,1.01691,0.92343,0.87847,0.94692,0.75734,0.92343,0.87847,0.93416,0.64862,0.89003,2.17549,0.55878,1.41604,0.000655625,0.000655625,0.000655625
84,407.175,0.64715,1.48352,0.56227,1.12137,0.93076,0.9241,0.97787,0.76897,0.90275,0.91344,0.93858,0.66812,0.80641,2.10121,0.48775,1.32622,0.000646194,0.000646194,0.000646194
85,411.957,0.67174,1.29181,0.56568,1.05133,0.94183,0.9055,0.97426,0.7834,0.92884,0.89286,0.94335,0.66542,0.75947,2.0041,0.52092,1.25827,0.000636762,0.000636762,0.000636762
86,416.572,0.66813,1.4593,0.58182,1.07113,0.91045,0.87294,0.9535,0.78076,0.91045,0.87294,0.93869,0.67223,0.72353,1.863,0.55476,1.2241,0.000627331,0.000627331,0.000627331
87,421.293,0.63026,1.37223,0.51323,1.06489,0.93679,0.94927,0.97381,0.78628,0.93579,0.9379,0.96792,0.69778,0.72404,1.88164,0.46283,1.22379,0.0006179,0.0006179,0.0006179
88,425.996,0.6444,1.3442,0.55093,1.04047,0.94236,0.96561,0.9833,0.81451,0.94322,0.96429,0.96213,0.69991,0.69563,1.75695,0.43666,1.21872,0.000608468,0.000608468,0.000608468
89,430.821,0.57444,1.24485,0.48112,1.00911,0.97655,0.94959,0.97932,0.78499,0.96303,0.93775,0.96283,0.70687,0.72215,1.82672,0.42072,1.20434,0.000599037,0.000599037,0.000599037
90,435.62,0.69189,1.386,0.56941,1.06829,0.99731,0.93709,0.97282,0.79613,0.99731,0.93709,0.97118,0.71305,0.72618,1.73841,0.43872,1.2153,0.000589605,0.000589605,0.000589605
91,440.193,0.63977,1.39857,0.572,1.03837,0.92917,0.9336,0.97261,0.80337,0.92917,0.9336,0.96563,0.71885,0.67022,1.62054,0.43121,1.18198,0.000580174,0.000580174,0.000580174
92,444.927,0.62274,1.297,0.55923,1.04385,0.95921,0.91318,0.97389,0.79425,0.95921,0.91318,0.95833,0.708,0.69623,1.65584,0.44624,1.20057,0.000570743,0.000570743,0.000570743
93,449.593,0.66679,1.41928,0.61127,1.06582,0.9527,0.93509,0.97017,0.80417,0.9527,0.93509,0.96095,0.70733,0.68857,1.78178,0.41163,1.19094,0.000561311,0.000561311,0.000561311
94,454.326,0.62487,1.22804,0.50607,1.0558,0.97388,0.90939,0.9795,0.79859,0.97328,0.89101,0.96487,0.70366,0.7441,1.83071,0.43288,1.26228,0.00055188,0.00055188,0.00055188
95,459.08,0.67757,1.36153,0.5419,1.06382,0.96064,0.89934,0.96296,0.8081,0.96064,0.89934,0.95654,0.71376,0.67309,1.86125,0.45932,1.19035,0.000542448,0.000542448,0.000542448
96,463.827,0.57706,1.20996,0.55395,1.02017,0.95843,0.8858,0.94316,0.78923,0.95843,0.8858,0.93989,0.67217,0.70946,1.81214,0.48392,1.16856,0.000533017,0.000533017,0.000533017
97,468.534,0.60393,1.26635,0.47075,1.02576,0.947,0.88125,0.95046,0.78722,0.947,0.88125,0.94378,0.69175,0.68161,1.69608,0.48513,1.14672,0.000523586,0.000523586,0.000523586
98,473.384,0.57033,1.22876,0.47106,1.02385,0.95183,0.90762,0.96471,0.80082,0.95183,0.90762,0.95528,0.70833,0.66471,1.66525,0.45084,1.12955,0.000514154,0.000514154,0.000514154
99,478.182,0.61706,1.22035,0.5104,1.03143,0.93226,0.94556,0.96725,0.80341,0.92086,0.93365,0.94642,0.71063,0.66507,1.66224,0.41851,1.13345,0.000504723,0.000504723,0.000504723
100,482.969,0.57209,1.14867,0.4672,1.01009,0.92414,0.90304,0.95788,0.80127,0.91296,0.89122,0.94472,0.71083,0.65835,1.76245,0.47891,1.14963,0.000495291,0.000495291,0.000495291
101,487.663,0.56542,1.07601,0.44948,1.00461,0.92959,0.92675,0.95348,0.77832,0.92959,0.92675,0.95131,0.67709,0.67679,1.80026,0.45177,1.15356,0.00048586,0.00048586,0.00048586
102,492.398,0.58431,1.15377,0.45949,1.02265,0.96539,0.94006,0.96678,0.80507,0.96539,0.94006,0.96363,0.70365,0.67714,1.73213,0.43662,1.17459,0.000476429,0.000476429,0.000476429
