epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,361.366,1.27508,2.67562,1.4771,1.6829,0.85816,0.73575,0.86268,0.56878,0.85816,0.73575,0.84787,0.51873,1.05848,1.93279,0.9351,1.64016,0.0008086,0.0008086,0.0008086
31,373.454,1.2553,2.71185,1.49898,1.64955,0.76378,0.70725,0.81833,0.54396,0.76378,0.70725,0.8035,0.49695,1.02686,2.05956,1.00669,1.64462,0.000802,0.000802,0.000802
32,385.873,1.40554,2.65733,1.67576,1.80564,0.61265,0.76529,0.83358,0.55523,0.62245,0.76872,0.82002,0.50296,1.06497,1.92138,1.13953,1.60482,0.0007954,0.0007954,0.0007954
33,398.204,1.20373,2.56997,1.38326,1.61835,0.78089,0.82266,0.84078,0.57116,0.8032,0.84647,0.85751,0.52603,1.0316,1.81617,0.94169,1.55178,0.0007888,0.0007888,0.0007888
34,410.029,1.19999,2.4581,1.29868,1.61667,0.76504,0.73049,0.79376,0.50777,0.75816,0.71868,0.79458,0.48,1.10419,1.85872,1.13795,1.59617,0.0007822,0.0007822,0.0007822
35,421.974,1.26786,2.71681,1.40574,1.65574,0.80744,0.75194,0.81875,0.53555,0.79817,0.73751,0.81993,0.50249,1.0493,1.83203,1.02993,1.67105,0.0007756,0.0007756,0.0007756
36,433.547,1.23663,2.56445,1.3147,1.61186,0.8266,0.83793,0.90167,0.62678,0.81122,0.8276,0.89441,0.58195,0.98745,1.88771,0.8561,1.55931,0.000769,0.000769,0.000769
37,445.118,1.13757,2.42045,1.30151,1.56822,0.87431,0.77763,0.87683,0.58579,0.88938,0.78903,0.89463,0.54818,1.08685,1.77805,0.86296,1.63222,0.0007624,0.0007624,0.0007624
38,456.598,1.21513,2.50391,1.25034,1.67368,0.85695,0.81178,0.84256,0.58988,0.85695,0.81178,0.84236,0.56343,0.98702,1.73843,0.89593,1.53618,0.0007558,0.0007558,0.0007558
39,468.207,1.20238,2.72694,1.34301,1.62236,0.87651,0.74104,0.83944,0.58055,0.87651,0.74104,0.8337,0.55097,0.99229,1.76263,0.87801,1.55405,0.0007492,0.0007492,0.0007492
40,479.972,1.19902,2.53919,1.33448,1.5955,0.83522,0.84729,0.90055,0.61684,0.8246,0.83539,0.88954,0.59371,0.99282,1.64549,0.76561,1.53789,0.0007426,0.0007426,0.0007426
41,491.63,1.1538,2.47927,1.28603,1.5653,0.90214,0.89987,0.93186,0.64431,0.89351,0.86476,0.93182,0.60329,0.98678,1.68571,0.71802,1.54042,0.000736,0.000736,0.000736
42,503.024,1.03869,2.32191,1.13844,1.49015,0.95594,0.82395,0.93504,0.64352,0.93878,0.8134,0.91025,0.58516,1.01218,1.8964,0.73445,1.53191,0.0007294,0.0007294,0.0007294
43,515.025,1.12575,2.48977,1.31212,1.51319,0.87503,0.8345,0.9245,0.63181,0.87503,0.8345,0.92828,0.59226,0.98672,1.62419,0.71756,1.50379,0.0007228,0.0007228,0.0007228
44,526.986,1.19014,2.47265,1.22122,1.62898,0.88726,0.84757,0.92787,0.63786,0.86059,0.82398,0.90957,0.5921,0.96434,1.6938,0.73138,1.50305,0.0007162,0.0007162,0.0007162
45,538.82,1.23603,2.63722,1.30373,1.68115,0.84626,0.78894,0.88228,0.60723,0.84626,0.78894,0.88692,0.57343,0.98836,1.71742,0.76839,1.51422,0.0007096,0.0007096,0.0007096
46,550.218,1.09569,2.41546,1.19104,1.555,0.90051,0.80131,0.90211,0.62116,0.90051,0.80131,0.90874,0.54295,0.96288,1.76691,0.81221,1.47299,0.000703,0.000703,0.000703
47,561.25,1.1135,2.32992,1.10982,1.51348,0.84673,0.76585,0.90081,0.65774,0.84673,0.76585,0.88054,0.56515,0.92329,2.00942,0.78212,1.45742,0.0006964,0.0006964,0.0006964
48,572.62,1.20183,2.46003,1.35744,1.6441,0.8996,0.83747,0.91583,0.65637,0.87537,0.79398,0.90312,0.57939,0.93388,1.85709,0.81914,1.44846,0.0006898,0.0006898,0.0006898
49,584.18,1.06058,2.36389,1.10086,1.49355,0.971,0.84441,0.9553,0.67653,0.971,0.84441,0.93669,0.53486,0.93415,2.08311,0.67312,1.45602,0.0006832,0.0006832,0.0006832
50,595.643,1.09977,2.26234,1.16437,1.50667,0.89188,0.85837,0.92046,0.65713,0.90963,0.85732,0.90576,0.60273,0.8838,1.64935,0.7438,1.40892,0.0006766,0.0006766,0.0006766
51,607.089,1.13305,2.33871,1.21928,1.53022,0.89628,0.76126,0.90367,0.6387,0.90381,0.74049,0.88241,0.59603,0.91125,1.64829,0.82057,1.45109,0.00067,0.00067,0.00067
52,618.507,1.2045,2.5392,1.25156,1.62947,0.96301,0.85766,0.94345,0.65795,0.94978,0.84587,0.93167,0.63614,0.96468,1.57211,0.73351,1.52802,0.0006634,0.0006634,0.0006634
53,629.843,1.04963,2.26475,1.10603,1.50701,0.91912,0.83415,0.93704,0.68956,0.91912,0.83415,0.93641,0.63257,0.85851,1.68583,0.68296,1.39725,0.0006568,0.0006568,0.0006568
54,641.515,1.15201,2.52227,1.26053,1.58089,0.85108,0.87161,0.94006,0.68033,0.84181,0.85971,0.92369,0.62531,0.88012,1.61826,0.70004,1.40306,0.0006502,0.0006502,0.0006502
