epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,219.66,1.11314,2.12172,1.29207,1.17388,0.96262,0.92379,0.96294,0.73327,0.94996,0.91189,0.94398,0.66283,1.12446,2.62829,1.14918,1.32941,0.00122387,0.00122387,0.00122387
31,226.765,1.03229,2.0507,1.27893,1.17896,0.96136,0.89917,0.97162,0.73998,0.96743,0.85784,0.92339,0.64119,1.1625,3.14664,1.27134,1.32975,0.00121679,0.00121679,0.00121679
32,233.898,1.06876,2.08421,1.2666,1.19456,0.94981,0.9034,0.97033,0.72124,0.93678,0.8915,0.93559,0.64,1.18495,2.84228,1.22138,1.33056,0.00120972,0.00120972,0.00120972
33,241.079,1.02902,2.05735,1.29122,1.1534,0.95301,0.93204,0.95695,0.74198,0.92801,0.90476,0.91467,0.63592,1.0817,2.48522,1.17306,1.23745,0.00120265,0.00120265,0.00120265
34,248.183,1.02298,2.0247,1.30179,1.15847,0.93255,0.9439,0.9811,0.78637,0.91882,0.91589,0.958,0.67606,0.98878,2.77871,1.00586,1.17757,0.00119557,0.00119557,0.00119557
35,255.365,1.03757,1.9529,1.22746,1.13042,0.97896,0.92178,0.96462,0.75872,0.96527,0.90988,0.95332,0.6626,1.05909,2.78321,1.03628,1.24085,0.0011885,0.0011885,0.0011885
36,262.495,1.00056,2.06151,1.19824,1.15942,0.9258,0.92857,0.96564,0.75949,0.91089,0.91667,0.94929,0.66199,1.10957,2.59394,1.20473,1.27636,0.00118143,0.00118143,0.00118143
37,269.676,0.97185,1.97676,1.16602,1.13273,0.92327,0.94048,0.9561,0.74866,0.89905,0.91667,0.91358,0.65585,1.09921,2.89642,1.15525,1.27732,0.00117435,0.00117435,0.00117435
38,276.867,1.01585,1.90908,1.14389,1.12699,0.93791,0.92898,0.97304,0.73461,0.92413,0.91708,0.95779,0.617,1.15408,3.06533,1.18818,1.32976,0.00116728,0.00116728,0.00116728
39,284.076,0.98588,2.08028,1.1282,1.1305,0.95359,0.89682,0.98142,0.74157,0.89734,0.90583,0.94236,0.66271,1.16829,2.92114,1.1644,1.32628,0.00116021,0.00116021,0.00116021
40,291.269,0.99343,1.93031,1.13377,1.12819,0.9703,0.91071,0.96934,0.74093,0.95432,0.89967,0.9462,0.65867,1.14772,2.86946,1.06803,1.26265,0.00115313,0.00115313,0.00115313
41,298.441,0.98472,1.88308,1.10972,1.10149,0.97282,0.93573,0.96776,0.74145,0.9594,0.92398,0.95336,0.6385,1.09173,2.85211,0.96206,1.2625,0.00114606,0.00114606,0.00114606
42,305.561,1.0127,2.00208,1.09199,1.13522,0.96163,0.91667,0.98089,0.77773,0.94946,0.90476,0.95008,0.66698,1.05671,2.43265,1.0155,1.26579,0.00113898,0.00113898,0.00113898
43,312.78,0.96886,1.94844,1.10644,1.12774,0.95815,0.95874,0.98622,0.7689,0.96706,0.92565,0.94705,0.67743,1.09183,2.33416,0.96533,1.26466,0.00113191,0.00113191,0.00113191
44,319.977,0.91253,1.83523,1.01325,1.09202,0.94232,0.94048,0.9723,0.76126,0.9169,0.91667,0.92983,0.66867,1.05286,2.58285,0.94649,1.25028,0.00112484,0.00112484,0.00112484
45,327.196,0.96106,1.93022,1.04353,1.12818,0.96744,0.95043,0.97264,0.77401,0.94217,0.92685,0.93636,0.68751,1.04391,2.47985,0.96254,1.26038,0.00111776,0.00111776,0.00111776
