epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,846.334,1.31418,2.56864,1.46685,1.74464,0.78648,0.74311,0.86643,0.50921,0.77579,0.73121,0.84308,0.48177,1.47803,2.14442,1.07202,1.86333,0.00085645,0.00085645,0.00085645
31,874.999,1.54835,2.83833,1.75549,1.8479,0.6626,0.79062,0.84165,0.49249,0.6626,0.79062,0.83674,0.45453,1.54119,2.21349,1.03574,2.03378,0.0008515,0.0008515,0.0008515
32,902.243,1.42802,2.78272,1.53307,1.86012,0.80908,0.69403,0.81262,0.42585,0.80908,0.69403,0.80544,0.43631,1.5235,2.26588,1.11039,1.99523,0.00084655,0.00084655,0.00084655
33,929.024,1.36366,2.80821,1.67841,1.77168,0.75346,0.7002,0.81269,0.43941,0.75346,0.7002,0.81058,0.45321,1.4969,2.19219,1.1664,1.87774,0.0008416,0.0008416,0.0008416
34,956.302,1.34729,2.72743,1.38025,1.74325,0.60264,0.74097,0.8051,0.48498,0.60264,0.74097,0.80519,0.45423,1.46449,2.17017,1.12139,1.82461,0.00083665,0.00083665,0.00083665
35,983.185,1.38651,2.80739,1.51538,1.81,0.74266,0.71675,0.8043,0.47847,0.74266,0.71675,0.80852,0.4695,1.5184,2.08625,1.15439,1.94364,0.0008317,0.0008317,0.0008317
36,1013.63,1.42282,3.12003,1.566,1.84646,0.81319,0.75421,0.83491,0.475,0.81319,0.75421,0.83249,0.45075,1.45471,2.29032,1.05441,1.86424,0.00082675,0.00082675,0.00082675
37,1041.9,1.31205,2.62189,1.3755,1.73088,0.90171,0.78523,0.89382,0.54649,0.88609,0.7666,0.8733,0.50297,1.43793,2.16412,0.92282,1.92048,0.0008218,0.0008218,0.0008218
38,1069.94,1.33944,2.69277,1.49088,1.79806,0.79041,0.84514,0.88329,0.5322,0.80284,0.85671,0.88745,0.5032,1.42174,2.23176,0.94022,1.85317,0.00081685,0.00081685,0.00081685
39,1096.83,1.31441,2.6159,1.39048,1.76735,0.77736,0.84887,0.85924,0.48014,0.77736,0.84887,0.85738,0.48531,1.48454,2.14036,1.01727,1.8783,0.0008119,0.0008119,0.0008119
