epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,229.431,0.98532,2.00516,0.94291,1.4268,0.69923,0.61725,0.69736,0.47615,0.69923,0.61725,0.68864,0.40788,1.11324,3.20102,1.72087,1.68263,0.00122387,0.00122387,0.00122387
31,237.046,1.00173,2.12059,0.98078,1.40372,0.81338,0.8334,0.87396,0.57605,0.80147,0.82293,0.83905,0.47321,1.13929,2.66775,1.01896,1.72441,0.00121679,0.00121679,0.00121679
32,244.803,0.98907,1.98503,0.95416,1.34756,0.87936,0.84018,0.91202,0.6721,0.87936,0.84018,0.90961,0.5727,0.97793,2.05621,0.99357,1.53871,0.00120972,0.00120972,0.00120972
33,252.538,0.9663,2.15989,0.92603,1.34233,0.92183,0.78713,0.9229,0.62876,0.89089,0.76207,0.86655,0.5426,1.1123,2.38587,0.87101,1.80428,0.00120265,0.00120265,0.00120265
34,260.346,0.93504,2.06651,0.9012,1.32635,0.78182,0.869,0.87512,0.61636,0.78182,0.869,0.8643,0.53641,1.03985,2.12542,0.90027,1.66393,0.00119557,0.00119557,0.00119557
35,268.173,0.91491,1.98079,0.858,1.33358,0.84571,0.66866,0.88569,0.62974,0.84571,0.66866,0.88,0.56625,1.0211,2.3306,1.25563,1.711,0.0011885,0.0011885,0.0011885
36,275.885,0.92195,1.93172,0.83869,1.33636,0.89906,0.65383,0.84959,0.57722,0.91536,0.63238,0.84211,0.55493,1.13823,2.09953,1.36595,1.73008,0.00118143,0.00118143,0.00118143
37,283.569,0.89938,1.83109,0.86308,1.3302,0.8532,0.90881,0.93715,0.65078,0.8532,0.90881,0.93715,0.58431,1.06619,2.27569,0.72755,1.69546,0.00117435,0.00117435,0.00117435
38,291.193,0.90818,1.90921,0.84597,1.33546,0.87626,0.83975,0.89875,0.6721,0.87626,0.83975,0.88878,0.57149,0.98373,2.27575,0.83509,1.58725,0.00116728,0.00116728,0.00116728
39,298.915,0.94834,2.00529,0.93014,1.34131,0.7327,0.71091,0.78843,0.56995,0.7327,0.71091,0.7873,0.48433,0.98398,2.12749,1.21803,1.5966,0.00116021,0.00116021,0.00116021
