epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,436.623,1.16092,3.31762,1.36082,0.9482,0.83898,0.92037,0.52354,1.59375,3.41723,1.70127,0.000848969,0.000848969,0.000848969
43,446.35,1.16459,3.48505,1.38637,0.93429,0.86114,0.93977,0.61106,1.26763,3.04778,1.45971,0.000834822,0.000834822,0.000834822
44,455.756,1.19356,3.49104,1.3914,0.93953,0.9102,0.95092,0.60543,1.32609,2.99118,1.46949,0.000820675,0.000820675,0.000820675
45,466.592,1.14291,3.38726,1.38724,0.94644,0.88907,0.92797,0.56085,1.48438,3.20473,1.56552,0.000806528,0.000806528,0.000806528
46,477.179,1.14876,3.37531,1.36568,0.94358,0.85887,0.93643,0.58095,1.42735,3.01393,1.53734,0.00079238,0.00079238,0.00079238
47,487.706,1.12423,3.33118,1.35875,0.90701,0.87424,0.92049,0.57497,1.41254,3.09174,1.54591,0.000778233,0.000778233,0.000778233
48,497.152,1.10787,3.22867,1.33235,0.88253,0.90885,0.93486,0.58699,1.38971,3.03552,1.52344,0.000764086,0.000764086,0.000764086
49,508.427,1.13285,3.26992,1.37987,0.92535,0.87785,0.93245,0.56538,1.42193,3.10034,1.53241,0.000749939,0.000749939,0.000749939
50,518.449,1.15117,3.25206,1.34084,0.95139,0.908,0.95391,0.64268,1.22263,2.72545,1.39386,0.000735792,0.000735792,0.000735792
51,528.353,1.122,3.08999,1.34153,0.94223,0.89894,0.94578,0.57759,1.42262,2.82994,1.55297,0.000721645,0.000721645,0.000721645
52,538.458,1.07356,3.02426,1.31737,0.94989,0.87775,0.94165,0.59964,1.36094,2.83747,1.49962,0.000707498,0.000707498,0.000707498
53,548.313,1.09333,3.09825,1.31685,0.94402,0.88681,0.94214,0.6465,1.17001,2.70735,1.38013,0.000693351,0.000693351,0.000693351
54,559.572,1.12203,3.09554,1.35087,0.95664,0.86378,0.93605,0.59137,1.38378,2.83654,1.55223,0.000679204,0.000679204,0.000679204
55,569.677,1.07087,3.08225,1.3035,0.9049,0.92134,0.94131,0.63561,1.18662,2.76749,1.37712,0.000665057,0.000665057,0.000665057
56,579.902,1.09114,2.94215,1.3292,0.90789,0.90662,0.94921,0.61086,1.31024,2.74304,1.43252,0.000650909,0.000650909,0.000650909
57,590.58,1.07477,3.00658,1.30165,0.92935,0.91231,0.94891,0.60528,1.30695,2.7297,1.4603,0.000636762,0.000636762,0.000636762
58,601.601,1.08032,2.92804,1.32387,0.93543,0.92857,0.95506,0.61307,1.29356,2.58778,1.44762,0.000622615,0.000622615,0.000622615
59,611.051,1.09467,2.97558,1.31348,0.9519,0.92786,0.95777,0.62546,1.29113,2.69018,1.45631,0.000608468,0.000608468,0.000608468
60,621.19,1.03465,2.74464,1.27326,0.94483,0.88973,0.94373,0.59759,1.34462,2.76442,1.46978,0.000594321,0.000594321,0.000594321
61,632.527,1.05972,2.89264,1.29514,0.96259,0.91857,0.95677,0.62744,1.27553,2.65733,1.42994,0.000580174,0.000580174,0.000580174
62,642.238,1.04717,2.70253,1.27806,0.95038,0.92882,0.96529,0.62163,1.29752,2.60464,1.45093,0.000566027,0.000566027,0.000566027
63,652.747,1.00401,2.66082,1.25036,0.93852,0.92028,0.95875,0.61509,1.27889,2.60322,1.40885,0.00055188,0.00055188,0.00055188
64,663.224,1.04707,2.78857,1.26381,0.9672,0.94976,0.96581,0.63139,1.2743,2.44337,1.40492,0.000537733,0.000537733,0.000537733
65,672.902,1.04546,2.7548,1.25723,0.93823,0.93029,0.95921,0.60819,1.37642,2.62075,1.48049,0.000523586,0.000523586,0.000523586
66,683.156,1.04959,2.80997,1.29797,0.95676,0.91279,0.95777,0.63203,1.2293,2.49886,1.38512,0.000509438,0.000509438,0.000509438
67,693.903,1.01888,2.70777,1.2676,0.94603,0.91546,0.95522,0.62323,1.26037,2.5552,1.39794,0.000495291,0.000495291,0.000495291
68,704.294,1.02486,2.69776,1.26373,0.91931,0.91975,0.94033,0.60561,1.3046,2.60027,1.45841,0.000481144,0.000481144,0.000481144
69,714.713,0.9939,2.58946,1.2703,0.95034,0.93745,0.95706,0.64447,1.21959,2.41028,1.39715,0.000466997,0.000466997,0.000466997
70,725.515,1.01881,2.68035,1.26693,0.95147,0.91436,0.95372,0.6196,1.31336,2.50483,1.45958,0.00045285,0.00045285,0.00045285
71,735.007,1.03517,2.7876,1.30427,0.93896,0.91014,0.9493,0.66953,1.14378,2.30863,1.33512,0.000438703,0.000438703,0.000438703
72,746.544,1.01976,2.66548,1.26063,0.95793,0.93669,0.95866,0.64924,1.19898,2.34251,1.35638,0.000424556,0.000424556,0.000424556
73,757.018,0.96733,2.61309,1.25618,0.95281,0.91758,0.95646,0.62846,1.28468,2.31738,1.42134,0.000410409,0.000410409,0.000410409
74,767.913,0.99868,2.57256,1.23978,0.95141,0.88814,0.94665,0.63951,1.2003,2.29761,1.37177,0.000396262,0.000396262,0.000396262
75,778.055,0.99639,2.56235,1.26054,0.94017,0.87805,0.94325,0.60875,1.34781,2.50319,1.49853,0.000382115,0.000382115,0.000382115
76,788.515,1.01797,2.66304,1.26525,0.94614,0.90132,0.94218,0.63546,1.23158,2.36781,1.40622,0.000367967,0.000367967,0.000367967
77,798.999,1.00525,2.65272,1.27368,0.95254,0.91128,0.9399,0.63746,1.26532,2.27707,1.40297,0.00035382,0.00035382,0.00035382
78,809.987,0.98178,2.55041,1.23516,0.92944,0.91691,0.94232,0.64303,1.22554,2.34206,1.38755,0.000339673,0.000339673,0.000339673
79,820.542,1.0056,2.5248,1.26178,0.94775,0.91808,0.94353,0.65056,1.1761,2.34492,1.35892,0.000325526,0.000325526,0.000325526
80,830.733,0.97177,2.51434,1.23605,0.94692,0.91201,0.94485,0.64109,1.23521,2.29465,1.37716,0.000311379,0.000311379,0.000311379
81,840.76,0.97583,2.53716,1.24708,0.95501,0.91716,0.95749,0.65622,1.18608,2.26842,1.32594,0.000297232,0.000297232,0.000297232
82,852.229,0.95007,2.38064,1.24037,0.94861,0.94657,0.96046,0.63796,1.25534,2.3995,1.38192,0.000283085,0.000283085,0.000283085
83,862.606,0.94796,2.42905,1.22424,0.96683,0.91871,0.96243,0.6648,1.17585,2.26585,1.33836,0.000268938,0.000268938,0.000268938
84,872.527,0.94996,2.40244,1.21739,0.9593,0.93103,0.9647,0.66415,1.17464,2.17624,1.34117,0.000254791,0.000254791,0.000254791
85,882.531,0.97806,2.45533,1.24003,0.94565,0.9474,0.96184,0.66285,1.15776,2.10067,1.34606,0.000240644,0.000240644,0.000240644
86,893.888,0.93119,2.2984,1.21327,0.94173,0.93129,0.94912,0.62213,1.30306,2.2711,1.46071,0.000226497,0.000226497,0.000226497
87,904.541,0.94631,2.39882,1.2153,0.95607,0.95147,0.96039,0.66436,1.15127,2.14635,1.35035,0.000212349,0.000212349,0.000212349
88,915.671,0.93217,2.31633,1.22315,0.95092,0.94964,0.9597,0.6505,1.22774,2.22664,1.38626,0.000198202,0.000198202,0.000198202
89,925.92,0.93327,2.30496,1.20005,0.94618,0.93794,0.95743,0.62688,1.30107,2.27039,1.43525,0.000184055,0.000184055,0.000184055
90,937.056,0.92627,2.28098,1.20799,0.96314,0.92354,0.9596,0.65558,1.20642,2.15442,1.36603,0.000169908,0.000169908,0.000169908
91,954.137,0.86122,2.15521,1.18594,0.93621,0.94018,0.94458,0.63977,1.2285,2.24086,1.38433,0.000155761,0.000155761,0.000155761
