epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4257,2.18924,4.4907,2.41669,0.00349,0.74573,0.02363,0.00659,2.32626,3.39698,3.09575,0.0809333,0.000192593,0.000192593
2,30.3582,1.83854,3.33075,2.18094,0.01145,0.7666,0.12527,0.04087,1.93344,3.45211,2.54283,0.0611314,0.000390649,0.000390649
3,45.329,1.8177,2.90467,2.11249,0.43986,0.16783,0.12304,0.0363,2.02575,3.44165,2.87848,0.0413275,0.000586726,0.000586726
4,59.7796,1.73229,2.77642,1.94542,0.56012,0.29095,0.2554,0.10032,1.78941,3.05045,2.41914,0.0215216,0.000780823,0.000780823
5,75.4684,1.76778,2.59568,2.02599,0.40147,0.28631,0.22344,0.09971,1.72124,2.94195,2.43423,0.00171368,0.000972939,0.000972939
6,91.0442,1.75362,2.46317,2.03354,0.58966,0.30769,0.31024,0.13411,1.7359,3.01711,2.56386,0.00097525,0.00097525,0.00097525
7,105.822,1.78236,2.39497,2.05722,0.48101,0.50758,0.45181,0.17045,1.98394,3.46649,2.74229,0.0009703,0.0009703,0.0009703
8,120.527,1.70847,2.2171,1.91788,0.5124,0.49593,0.40764,0.19321,1.69066,2.28374,2.29368,0.00096535,0.00096535,0.00096535
9,135.732,1.75289,2.15634,1.937,0.51297,0.51011,0.56488,0.26183,1.8941,2.19769,2.53334,0.0009604,0.0009604,0.0009604
10,150.892,1.66758,2.09241,1.91336,0.58731,0.47914,0.51089,0.24731,1.75038,2.48473,2.36119,0.00095545,0.00095545,0.00095545
11,165.419,1.73537,2.17248,2.03477,0.48131,0.5583,0.52207,0.25647,1.74323,2.45052,2.37367,0.0009505,0.0009505,0.0009505
12,181.543,1.69718,2.09362,2.01373,0.55221,0.60296,0.62062,0.26225,1.8013,1.87756,2.43935,0.00094555,0.00094555,0.00094555
13,198.002,1.61387,2.07723,1.95453,0.61654,0.58044,0.59847,0.30551,1.56655,2.58564,2.18214,0.0009406,0.0009406,0.0009406
14,213.059,1.66554,2.03272,1.93101,0.62172,0.75031,0.7166,0.41368,1.48015,1.77107,2.0428,0.00093565,0.00093565,0.00093565
15,228.996,1.57956,1.82515,1.90407,0.62318,0.70614,0.66911,0.36276,1.53106,1.62835,2.12239,0.0009307,0.0009307,0.0009307
16,243.928,1.63524,1.87965,1.88086,0.71905,0.61911,0.71736,0.30831,1.83159,1.60923,2.38494,0.00092575,0.00092575,0.00092575
17,260.176,1.62692,1.82985,1.90149,0.69039,0.46996,0.49642,0.19704,1.8986,2.60518,2.52414,0.0009208,0.0009208,0.0009208
18,274.618,1.57137,1.72289,1.89163,0.76204,0.67397,0.7395,0.37053,1.62863,1.77686,2.16454,0.00091585,0.00091585,0.00091585
19,289.979,1.58615,1.69001,1.80368,0.57064,0.69515,0.68638,0.35744,1.60537,1.69125,2.14607,0.0009109,0.0009109,0.0009109
20,304.63,1.60173,1.74645,1.89536,0.67972,0.66428,0.69114,0.34972,1.71855,1.60161,2.25217,0.00090595,0.00090595,0.00090595
21,321.161,1.64446,1.64003,1.88751,0.79148,0.69428,0.74663,0.33909,1.84425,1.61339,2.4608,0.000901,0.000901,0.000901
22,335.415,1.56797,1.62502,1.82447,0.75685,0.76254,0.7712,0.37893,1.67107,1.41025,2.18095,0.00089605,0.00089605,0.00089605
23,350.695,1.55269,1.56573,1.74453,0.79964,0.69173,0.76144,0.38025,1.65095,1.38451,2.16289,0.0008911,0.0008911,0.0008911
24,366.616,1.60004,1.54713,1.84998,0.82237,0.82959,0.83746,0.43799,1.64398,1.20516,2.18785,0.00088615,0.00088615,0.00088615
25,382.28,1.62255,1.58616,1.89716,0.69556,0.79552,0.81126,0.42061,1.63259,1.20676,2.1444,0.0008812,0.0008812,0.0008812
26,397.078,1.51838,1.46633,1.85538,0.77113,0.77898,0.81465,0.4149,1.63523,1.30921,2.18841,0.00087625,0.00087625,0.00087625
27,412.719,1.55648,1.53669,1.82944,0.82615,0.87284,0.86202,0.43732,1.6488,1.27475,2.14148,0.0008713,0.0008713,0.0008713
28,427.457,1.5557,1.46971,1.77989,0.79775,0.75954,0.80395,0.45481,1.51858,1.11615,2.00935,0.00086635,0.00086635,0.00086635
29,442.696,1.54642,1.49986,1.84267,0.80383,0.78955,0.87268,0.49243,1.53382,1.04774,2.05436,0.0008614,0.0008614,0.0008614
30,458.559,1.52508,1.49924,1.81653,0.74909,0.831,0.87755,0.5203,1.5264,1.12417,2.03953,0.00085645,0.00085645,0.00085645
31,473.735,1.53642,1.43663,1.8428,0.85797,0.85612,0.86558,0.50548,1.54409,1.02084,2.04967,0.0008515,0.0008515,0.0008515
32,488.943,1.46406,1.44067,1.72314,0.73787,0.82236,0.84363,0.47088,1.60769,1.14993,2.10409,0.00084655,0.00084655,0.00084655
33,505.082,1.473,1.4266,1.81075,0.81695,0.84895,0.86669,0.44549,1.68274,1.23274,2.18505,0.0008416,0.0008416,0.0008416
34,519.376,1.58066,1.48774,1.84598,0.8181,0.90763,0.89307,0.5445,1.48545,0.92462,1.96093,0.00083665,0.00083665,0.00083665
35,534.7,1.50651,1.39541,1.79358,0.88246,0.81589,0.8636,0.45378,1.70558,1.03914,2.18521,0.0008317,0.0008317,0.0008317
36,550.129,1.48791,1.30416,1.73331,0.77154,0.82828,0.8461,0.42361,1.67535,1.04886,2.14593,0.00082675,0.00082675,0.00082675
37,565.615,1.50919,1.39671,1.80739,0.83043,0.80658,0.82347,0.43034,1.57324,1.11485,2.0625,0.0008218,0.0008218,0.0008218
38,580.883,1.45723,1.30742,1.74829,0.77436,0.81791,0.83871,0.37346,1.80003,1.13536,2.27468,0.00081685,0.00081685,0.00081685
39,595.847,1.47689,1.31999,1.74467,0.79663,0.86398,0.83994,0.41643,1.70583,1.11033,2.12294,0.0008119,0.0008119,0.0008119
40,610.819,1.49432,1.34174,1.78228,0.82878,0.72119,0.82633,0.45789,1.46654,1.2402,1.96402,0.00080695,0.00080695,0.00080695
41,626.829,1.51177,1.30378,1.76633,0.79835,0.81596,0.82403,0.45562,1.54883,1.08358,2.02895,0.000802,0.000802,0.000802
42,640.869,1.45434,1.29273,1.68827,0.78994,0.86212,0.86378,0.50516,1.42366,1.00727,1.92894,0.00079705,0.00079705,0.00079705
43,656.69,1.49173,1.29407,1.72202,0.73756,0.88935,0.87926,0.47698,1.48595,1.06465,1.99418,0.0007921,0.0007921,0.0007921
44,671.801,1.48417,1.30529,1.71192,0.84323,0.86136,0.84738,0.47581,1.50565,1.01268,2.03367,0.00078715,0.00078715,0.00078715
45,687.467,1.43814,1.43031,1.71494,0.84523,0.83271,0.86959,0.49685,1.47248,0.89737,1.99043,0.0007822,0.0007822,0.0007822
46,701.931,1.438,1.27857,1.69922,0.84343,0.82359,0.85921,0.48252,1.54993,0.97711,2.03717,0.00077725,0.00077725,0.00077725
47,716.601,1.4595,1.1798,1.69373,0.85051,0.88838,0.89862,0.50762,1.51364,0.89375,1.98426,0.0007723,0.0007723,0.0007723
48,732.001,1.46222,1.24528,1.67874,0.79796,0.73619,0.86046,0.50397,1.4929,1.07947,1.97111,0.00076735,0.00076735,0.00076735
49,747.608,1.49646,1.32918,1.79973,0.88794,0.87463,0.86464,0.40903,1.83119,1.02537,2.28878,0.0007624,0.0007624,0.0007624
50,762.45,1.52032,1.37937,1.7381,0.8204,0.84842,0.88725,0.53428,1.35169,0.95659,1.87645,0.00075745,0.00075745,0.00075745
51,778.58,1.46738,1.25911,1.73977,0.79889,0.7734,0.8676,0.50364,1.44382,1.09602,1.94462,0.0007525,0.0007525,0.0007525
52,793.265,1.45662,1.22685,1.7104,0.86125,0.87319,0.9098,0.45699,1.69191,0.89715,2.15333,0.00074755,0.00074755,0.00074755
53,808.623,1.48315,1.28099,1.70454,0.84288,0.88306,0.8839,0.55716,1.31826,0.87132,1.84489,0.0007426,0.0007426,0.0007426
